i,j,tau_sch,margin_sch_exact,margin_sch_float,tau_cau,margin_cau_exact,margin_cau_float,ratio_cau_over_sch
37,0,1,23820711124908557735061614818804013752933210503144881303405739170965056882268324169276506074315448121382197483819143736038154645962518062668285463187481959487100869460231624704309242001276843/432060091416662832208086197462045903076187300507345035675138555930629991053137928247451782226562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.055132866002050494,1,23820711124908557735061614818804013752933210503144881303405739170965056882268324169276506074315448121382197483819143736038154645962518062668285463187481959487100869460231624704309242001276843/432060091416662832208086197462045903076187300507345035675138555930629991053137928247451782226562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.055132866002050494,1.0
37,1,1,166845791754681945691200041291989583843013395509010883681853705523941239977720696969380976526069483851736262772892861376298432675617808247708104272285165382846515618314165502158756612954250401/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05516619928876051,1,166845788934865769103991204931328028459453244391759707206358952583453254415953951588959268425000207452561502919044759149824295118053306502910521310948246711724039974671918778983707784829250401/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05516619835641131,0.999999983099267
37,2,1,167145666370853329380312752726958346165951797498684783624316033805125282280546947657073075202045881842360314897110923528560754154222495126346793891457078865474187149891671241895313619790187901/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.055265350383093624,1,167145621318976755581368026157851697584993273851016216333294993825579608439838756609427065634698972165439022661068092707478914689938827957622396600232077165688252388725098671094532369790187901/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05526533548705834,0.9999997304633883
37,3,1,167640656879609761936290268530678697841473264011525209971201552080189494338336221851591856923792060981909298836152920750750044791973354201741413024646039770768630852820555523292179464516750401/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05542901495482134,1,167640429353573359501634925628988879640303587947533073080937654303292455071350884395811184504928877529976704282561370639726495820429754386497321348644894145163426593775133446113224386391750401/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.055428939725194415,0.9999986427753229
37,4,1,168326693049706264203574880947355054668919002843155835955810470765017198722352698618151542717219742194678110877010106143196155125660566098175080220642221561933092501012294481603260397133937901/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05565584721520276,1,168325976378743913051340251344247481749092278574738609241066238784794456818729059666266620230088557626402740910447589689712990339573832323314293376141433714723370697347133348790760397133937901/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05565561025379835,0.9999957423807873
37,5,1,169199581053722200019347005612439583960110364765715890042733066098883114720543389272240514108435282800652925904848747836076817734611799394969748300020182939140501187708579706184025167641750401/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05594446050943024,1,169197838951982501235444747418290360205927935887964861989514616422701499593861174101083007708427293389444645046666765306188568395840344712293991954910324580685188632984065221778507589516750401/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.055943884497708624,0.9999897038649337
37,6,1,170255006946452643690720488052576134887273439014396662034374189584348948701036361117329283044586560957822905470800699758916105503437796094020885711621774106580397731243036990491505026040187901/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05629342846673116,1,170251413665575072115444759219964442083148880851660213174385054256145880314527936906878078035101892033957003769106263972958804809642676327914526364639687952850346139250658755628223776040187901/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05629224037773648,0.999978894712455
37,7,1,24498363128196895429520919186062621494812412598203912134395266613650419751120716129647043513971680898798270689277565238040950314184953837906385902607450485289832508334572511726327674618464343/432060091416662832208086197462045903076187300507345035675138555930629991053137928247451782226562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.056701286730441336,1,24497418086660774123611113584135121020375952944218628002525738191582403370837824186566442359223249119298299137181517177915449794890680730608158572381917017152177217559571462684579627743464343/432060091416662832208086197462045903076187300507345035675138555930629991053137928247451782226562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.056699099438546306,0.9999614242987919
37,8,1,172895649232514592612562566111772972898057056398850170905936504923839079460334925555166351298623542770645779461616332247287204654565885817237676650863219359150548650901891932622547506508937901/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05716653528633504,1,172884445466562363171257692398235813677182093318423172531224973913209016490317080441565779166386666499975716512869831838422374458125251355239830695826932163169999792259313807622547506508937901/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.057162830852565356,0.9999351992603518
37,9,1,174471693328190081707454073473891050479978909048350642504886079213206724586183402770427015717981427375912015726310972472617014462283518115640714994876479000358871939055555947867985128579250401/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05768764140328011,1,174453894284136393772045815102514895097799713567833034265906626938681845825782175347608379735737184210337036622052841168606090682647554112618163213504165109488953543290430196372623800454250401/3024420639916639825456603382234321321533311103551415249725969891514409937371965497732162475585937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05768175629463525,0.9998979831987977
